[05.02.2026 13:54] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[05.02.2026 13:55] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[05.02.2026 15:12] Режим: PVP | Поле: 3x3 | Количество ходов: 9 | Итог: Ничья
[05.02.2026 13:55] Режим: Бот | Поле: 3x3 | Количество ходов: 9 | Итог: Победил X
[06.02.2026 12:31] Режим: Бот | Поле: 3x3 | Количество ходов: 9 | Итог: Ничья
[06.02.2026 12:52] Режим: Бот | Поле: 3x3 | Количество ходов: 9 | Итог: Ничья
[06.02.2026 13:18] Режим: Бот | Поле: 3x3 | Количество ходов: 9 | Итог: Ничья
[06.02.2026 13:18] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 12:34] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 12:35] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 12:35] Режим: PVP | Поле: 3x3 | Количество ходов: 3 | Итог: Победил X
[24.02.2026 12:35] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 12:39] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 12:39] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 12:41] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 12:41] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 12:44] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 12:44] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 12:47] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 12:47] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил O
[24.02.2026 12:47] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 12:48] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 12:48] Режим: Бот | Поле: 3x3 | Количество ходов: 5 | Итог: Победил O
[24.02.2026 12:48] Режим: Бот | Поле: 3x3 | Количество ходов: 5 | Итог: Победил O
[24.02.2026 12:53] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 12:54] Режим: Бот | Поле: 3x3 | Количество ходов: 9 | Итог: Ничья
[24.02.2026 13:06] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 13:06] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил O
[24.02.2026 13:07] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 13:07] Режим: PVP | Поле: 3x3 | Количество ходов: 3 | Итог: Победил X
[24.02.2026 13:10] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 13:10] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 13:12] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 13:13] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 13:13] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 13:13] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 13:13] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 13:14] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 13:14] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 13:14] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 13:15] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X
[24.02.2026 13:17] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 13:24] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 13:26] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 13:34] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 13:34] Режим: Бот | Поле: 3x3 | Количество ходов: 6 | Итог: Победил O
[24.02.2026 13:34] Режим: PVP | Поле: 3x3 | Количество ходов: 7 | Итог: Победил X






